mmsi,months_2015
100881821,"5,6,7,8,9"
104938,"1,2,6,7,8,9,10,11,12"
111219901,"1,2,5,8,9,10,11,12"
130700536,"9,10,11"
13,"1,2,5,6,7,8,9,10,11,12"
19061400,"1,2,3,5"
200000238,"5,6,7,8"
200001773,"8,9,11"
200001903,"1,2,3"
200006472,"2,3,7,8,9"
200010429,"1,2,9,10,11,12"
200013314,"3,4,5,6,7,11,12"
205258090,"1,2,4,5,6,7,8,9,10,11,12"
205937110,"6,7,8,9,10,11,12"
211113370,"3,6,7,8"
211117840,"5,6,7,9,10"
211161590,"3,5,9"
211223250,"3,4,5,6,7,8,9,10,11,12"
211225100,"4,11,12"
211365960,"3,4,5,6,7,8,9,10,11,12"
211401930,"3,4,5,6,7,8,9,10,11"
211442190,"1,2,3,4,5,6,7,8,9,10,11,12"
211493750,"1,2,3,4,5,6,7,8,9,10,11,12"
211495780,"3,4,6,7,8,9,10"
211496840,"5,6,7,8,9,10"
211500210,"5,6,7,8,9"
211510820,"1,2,3,4,5,6,7"
211515610,"4,5,6,7,8,9"
211519610,"1,3,4,5,6,7,8,9,10,11,12"
211522430,"8,9,10,11"
211644790,"4,5,6,7,8,9,10"
211686430,"10,11,12"
219000368,"1,2,3,4,5,6,7,8,9,10,11,12"
219012504,"6,8,9,10"
219014433,"6,7,8"
219020209,"5,6,9,10"
219868000,"1,2,3,4,6,7,8,10,11,12"
220000054,"3,4,5,6,7,8,9,10,11,12"
224001900,"1,2,3,4,5"
224050280,"1,2,3,4,5,6,7,8,9,10,11,12"
224090120,"1,2,3,4,5,6,7,8,9,10,11,12"
224092860,"4,5,6,7,8,9,10"
224374270,"1,7,8,9"
224579740,"1,5,7,8,9,10,11,12"
226000420,"1,2,3,4,5,6,8,9,11"
226002720,"1,2,3,4,5,7,8,9,10,11,12"
226005540,"1,2,3,4,5,6,7,8,9,10,11,12"
226008730,"3,4,5,6,7,8,9,10,11"
227010940,"1,2,3,4,5,6,7,8,9,10,11,12"
227099020,"1,2,3,4,5,9,11,12"
227258760,"1,2,3,4,6,7,8,9,10,12"
227276790,"4,5,6,7,8,9,10,11,12"
227320290,"1,2,3,4,5"
227338920,"3,5,6,7,8,9,10"
227602490,"1,3,4,6,7,8,9,10,11,12"
227706510,"1,2,3,4,5,6,7,8,9,10,11,12"
227716030,"2,3,4,5"
227940000,"1,2,3,4,5,6,7,8,9,10,11,12"
228213900,"1,2,3,4,5,6,8,9,11,12"
228939000,"1,2,3,4,5,6,7,8,9,10,11,12"
229138000,"1,2,3,4,5,6,7,8,9,10,11,12"
230011290,"1,2,3,4,5,6,7,8,9,10,11,12"
230988240,"5,6,7,8,9,10,11"
231051000,"1,2,3,4,5,6,7,8,9,10,11,12"
231089000,"1,2,3,4,5,6,7,8,9,10,11,12"
232003389,"1,2,3,4,5,6,7,8,9,10,11,12"
232003432,"6,7,8"
233414000,"1,2,3,4,5,6,7,8,9,10,11,12"
235001652,"6,7,8"
235004042,"3,4,6,7,8,9,10,11,12"
235009940,"1,2,3,4,9,10,11"
235021901,"1,2,3,4"
235023491,"3,4,5,6,7,8,9,10"
235024016,"5,7,8,10"
235029742,"4,5,6,7,11,12"
235054804,"1,2,3,4,5,6,7,8,9,10,11,12"
235056128,"1,2,3,4,5,6,7,8,9"
235057011,"1,2,3,4,5,6,7,8,9,10,11,12"
235063538,"5,6,8"
235070075,"5,6,7,8,9,10,11,12"
235078344,"1,2,3,4,5,6,7,8,9,10,11,12"
235081278,"3,4,5,6,7,9,10,11,12"
235087192,"3,4,5,6,7,8"
235088316,"6,7,8"
235089762,"6,7,8,9,10"
235091175,"1,6,7,8,11,12"
235092774,"5,7,8,9"
235100625,"1,2,3,4,5,6,7,8,9,10,11"
235101487,"7,8,9,10,11,12"
235104169,"1,2,3,4,5,6,7,8,9,10,11,12"
235109123,"3,4,5,6,7,8"
235110925,"8,9,10"
235111106,"6,7,8"
235379000,"1,4,5,6,7,8,9,10,11,12"
236112084,"1,2,3,4"
237015600,"3,4,5,6,7,8,9,10"
237028400,"1,2,3,4,5,6,7,8,9,10,11,12"
237320200,"4,5,6,7,8,9,10,12"
238115840,"1,2,3,4,6,7,8,9,10,11,12"
238121641,"4,5,6,7,8,9,10,11"
239448000,"1,2,3,4"
239459000,"3,6,7,10,11,12"
240381000,"4,5,6,7,8,9"
240558000,"1,2,3,4,5,6,7,8,9,10,11,12"
240685000,"1,2,3,4,5,6,7,8,9,10,11,12"
241241000,"1,2,3,4,5,6,7,8,9,10,11,12"
243071210,"4,5,6,7,8,9,10"
244010966,"4,5,6,7,8,9,10,11"
244026210,"6,7,8"
244030480,"5,6,7,8,9,10"
244060481,"5,6,7,8,9,10,11"
244060722,"5,6,7,8,9,10,11,12"
244090535,"6,7,8,10"
244250579,"1,2,3,4,5,6,7,8,10,11,12"
244250706,"4,5,6,7,8,9,10"
244260887,"4,5,6,7,8,10"
244615006,"5,7,8"
244630092,"1,2,3,4,5,6,7,8,9,10,12"
244650469,"5,7,8,10"
244660794,"1,2,3,4,5,6,7,12"
244670396,"1,2,3,4,5,6,7,8,9,10,11,12"
244670889,"1,2,3,4,5,6,7,8,9,10,11,12"
244690229,"5,6,7,8"
244690425,"4,5,7,8"
244710199,"3,4,5,6,7,8,9,10,11,12"
244710697,"8,10,12"
244710942,"5,6,7,8"
244730367,"3,4,5,6,7,8,9,10,11,12"
244750470,"1,2,3,4,5,6,7,8,9,10,11,12"
244750720,"4,5,6,7,8,9,10"
244770746,"1,2,3,4,5,6,7,8,9,10,11,12"
244780329,"7,8,9,10,11,12"
244780777,"1,3,4,5,6,7,8,9,10,11"
244780816,"4,5,6,7,8,9,10"
244810491,"4,5,6,7,8,9"
244810609,"7,8,12"
244830707,"4,5,6,7,8,9,10"
244850868,"6,7,8,10"
245876000,"1,2,3,4,5,6,7,8,9,10,11,12"
246342000,"4,5,6,7,8,9,10"
246691000,"5,6,7,8"
247053940,"1,2,3,4,5,6,7,9,10,11,12"
247153800,"1,2,3,4,5,6,7,8,9,10,11,12"
247171200,"1,3,4,5,6,7,8,9,10,11,12"
247536000,"8,9,10,11,12"
248000359,"1,2,3,4,5,6,7,8,9,10,11"
249205000,"1,2,3,4,5,6,7,8,9,10,11,12"
250250250,"9,10,11,12"
251040000,"1,2,3,4,5,6,7,8,9,10,11,12"
251119440,"6,7,8"
251185110,"2,3,4,5,6,7,8,9,10,11"
251208440,"3,4,6,7,8,9,10,11,12"
251208840,"1,2,3,4,6,7"
251221000,"1,2,3,4,5,6,7,8,9,10,11,12"
251229110,"7,8,9,10,11,12"
251363740,"1,2,3,4,5,6,7,8,9,10,11,12"
251435110,"1,2,3,4,5,6,7,8,9,10,11,12"
251441110,"6,7,8,9,10"
251444540,"6,7,8"
251546000,"1,2,3,4,5,6,7,8,9,10,11,12"
255500125,"1,2,3,4,5,6,7,8,9,10,11,12"
255911660,"1,2,3,4,5,6,7,8,9,10,11,12"
256000567,"1,2,3,4,5,6,7,8,9,10,11,12"
256086000,"1,2,3,4,5,6,7,8,9,10,11,12"
256839000,"2,3,4,5,6,7,8,9,10,11"
257022700,"1,2,3,4,5,6,7,8,9,10,11,12"
257033520,"5,6,7,8"
257140120,"1,2,3,4,5,6,7,8,9,10,11,12"
257251700,"2,3,4,5,6,11,12"
257274700,"1,2,3,5,6,8,9,12"
257303040,"1,2,3,4,5,7,8,9,10,12"
257311520,"1,2,3,4,11"
257457620,"1,2,3,4,5,6,7,8,9,10,11,12"
258153480,"5,6,7,8,9,10"
258360000,"1,2,3,4,5,6,7,8,9,10,11,12"
258847000,"1,2,3,4,5,6,7,8,9,10,11"
258991240,"6,7,8,9"
261513000,"5,6,7,8,9,10,11,12"
263401650,"1,2,3,4,5,6,7,8,9,10,11,12"
265001000,"1,2,3,4,5,6,7,8,9,10,11,12"
265561630,"6,7,8,9"
265609540,"1,2,3,4,5,6,7,8,9,10,12"
265626800,"6,7,8,9,10"
265642860,"1,3,4,5,6,7,8,9"
265647800,"1,2,3,4,5,6,7,8,9,10,11,12"
265650930,"5,6,7,8,10"
265681140,"5,6,7,8,9,10,11,12"
265706680,"5,6,7,8"
265707290,"2,3,4,5,8,9,10"
265707730,"4,5,7,8"
265710740,"3,4,5,6,7,8,9,10,11,12"
265714480,"1,2,3,4,6,7,8,9,10,11,12"
265726700,"4,5,7,8,10"
265859000,"1,2,3,4,5,6,7,8,9,10,11,12"
265902100,"1,2,3,4,5,6,7,8,9,10,11"
269057388,"1,2,3,4,5,6,7,8,9,10,11,12"
270342000,"1,3,4,5,6,7,8,9,10,11,12"
270464000,"5,6,7,8,9,10"
271042202,"1,2,3,4,5,6,7,8,9,10,11,12"
271043402,"1,2,3,4,5,6,7,8,9,10,11,12"
271043741,"1,2,3,4,5,6,7,8,9,10,11,12"
271044098,"4,5,6,7,8,9,10,11,12"
271062025,"2,3,4,9,11"
271072428,"4,9,10,12"
272659000,"1,6,7,8,9,10,11,12"
273358440,"1,3,4,5,6,7,8,9,10,11,12"
273389610,"8,9,10,11"
273457830,"1,2,3,4,5,6,7,8,9,10,11,12"
276796000,"1,2,3,4,5,6,7,8,9,10,11,12"
311000317,"1,2,3,4,5,6,7,8,9,10,11,12"
311317000,"1,2,3,4,5,6,7,8,9,10,11,12"
312162000,"1,2,3,4,5,6,7,8,9,10,11,12"
316001025,"1,2,5"
316011408,"1,2,3,4,5,6,7,8,9,10,11,12"
316011483,"3,4,5,6,7,8,9,10,11"
316011783,"5,6,7,8"
316017619,"4,5,6,7,8,11"
316029374,"5,6,7,8,9,10,11,12"
319021200,"5,6,7,8,9"
319039300,"1,2,4,5,6,7,8,9,10,11,12"
319465000,"1,7,8,9"
319949000,"1,4,5,6,7,8,9,10,11,12"
338093499,"5,6,7,8,9"
338116000,"1,2,3,4,5,6,7,8,9,10"
338139902,"3,4,5,6,7,8,9,10,12"
338166086,"3,4,5,6"
338169074,"1,2,4,5,7,8,9,10,11,12"
338187319,"5,6,7,8,9,10,11,12"
338192032,"7,8,9,10,11,12"
338193875,"8,9,10,11"
339604000,"4,5,6,8,10,11,12"
341381000,"4,8,9,10,12"
341663000,"1,2,3,4,5,6,7,12"
352896000,"1,2,3,4,5,6,7,8,9,10,11,12"
366879930,"3,4,5,8"
366975990,"7,8,9"
366999506,"3,4,5,6,7,8,9,10,11,12"
367000190,"1,2,3,4,5,7,8,9,10,11,12"
367004930,"1,2,3,4,5,6,7,8,9,10,11,12"
367019820,"1,2,3,4,5,6,7,8"
367101920,"1,2,3,4,5,6,7,8,9,10,11,12"
367120130,"5,7,9,12"
367135370,"9,10,11,12"
367155580,"8,9,10,11,12"
367177980,"4,5,6,7,8,9,10,11,12"
367402820,"1,2,3,4,5,6,7,8,9,10,11,12"
367408020,"1,2,3,4,5,6,9,10,11,12"
367408220,"3,7,8,10"
367426480,"6,8,9,10"
367486290,"4,7,9"
367487000,"2,3,4,5,6,7,8"
367500140,"2,3,4,5,6,9,10,11,12"
367601730,"1,2,3,4,5,6,7,8,9,10"
367602250,"1,2,3,4,5,6,7,8,9,10"
367604450,"5,6,7,8,9"
367648030,"4,10,11,12"
367649110,"1,3,5,6,7,8,10,11"
367655240,"4,5,6,11"
367672240,"6,7,8,9,10,11"
367683390,"7,8,9"
370490000,"1,2,3,4,5,6,7,8,9,10,11,12"
373760000,"1,2,9"
375563000,"1,3,4,5,6,7,8,9,10,11"
375736000,"3,4,5,6,7,8,9,10,11,12"
378112046,"1,2,3,4,5,6,7,8,9,10,11,12"
378158000,"1,2,3,4,5,6,7,8,9,11,12"
410000000,"1,2,3,4,5,6,7,8,9,10,11,12"
410118643,"6,7,8,9,10,11,12"
411080006,"1,2,3,8,11,12"
415877688,"3,4,5,6,7,8,9,10,11"
416000687,"4,5,6,7,8,9,11,12"
416004452,"3,4,5,6,8,9,10,11,12"
416004554,"6,7,12"
416004565,"1,3,4,5,6,7,8,9,10,11,12"
416239500,"1,2,3,4,5,6,7,8,9,10,11,12"
416243900,"1,2,3,4,5,6,7,8,9,10,11,12"
417654852,"1,2,3,4,5,8,9,10,11,12"
419900591,"4,5,6"
426585555,"5,6,7,8"
431005092,"1,2,3,4,5,6,7,8,9,10,11,12"
431311000,"7,8,9"
431602036,"1,2,3,4,5,6,7,8,9,10,11,12"
431602240,"1,2,3,4,5,6,7,8,9,10,11,12"
436000302,"4,5,6,7"
440005220,"3,4,6,8,9,10,11,12"
440005560,"9,10,11,12"
440012470,"8,9,10,11"
440143770,"4,5,6,7,8"
440146930,"2,3,4,5,6,7"
440311120,"2,7,8,9,10"
440313290,"4,5,6,9"
440336460,"3,5,7,8,9,10,12"
440402820,"3,4,5,6"
440704830,"7,8,9,10"
445364000,"1,2,3,4,5,6,7,8,10,11,12"
470743000,"1,2,3,4,5,6,7,8,9,10,11,12"
503004920,"1,2,3,4,5,6,9,10,11,12"
503018700,"1,4,5,6,10"
503020280,"2,3,4,7,8,9,10,11,12"
503184200,"1,5,6,7,8,9,10,11,12"
503484400,"1,3,4,8,9"
510911111,"1,9,10,11,12"
512002916,"1,2,3,4,5,7,11"
512003723,"4,5,6,7,8,9,10,12"
512004490,"1,2,3,4,5,6,7,8,9,10"
512006000,"3,4,5,6,7,8,11,12"
518100013,"3,4,5,6,7,8,9,10,11,12"
518100077,"5,6,7,8"
525005052,"1,2,3,4,5,6,7,8,9,10,11,12"
525010000,"1,2,3,4,5,6,11,12"
525015385,"2,9,10,11,12"
525022073,"1,2,3,4,5,6,7,8,9,10,11,12"
533180091,"1,2,3,4,5,6,7,8,9,10,11"
538004544,"1,2,3"
538070397,"1,2,3,4,5,6,7,8,10,11,12"
563014950,"1,2,3,4,5,6,7,8,9,10,11,12"
563032010,"2,9,10,11,12"
563034820,"10,11,12"
564239000,"3,4,5,6,12"
565083000,"1,2,3,4,5,6,7,8,9,10,11"
577228000,"8,9,10,11,12"
601080700,"7,8,9"
627400600,"1,2,3,4,5,6,8,9,10,11,12"
636090643,"1,2,3,4,5,6,7,8,9,10,11,12"
664104000,"8,9,10,11,12"
667001385,"6,7,10,11,12"
701000855,"1,2,3,4,5,6,7,8,9,10,11,12"
701006094,"3,4,5,6,7,8,9,10,11,12"
710000118,"1,2,7,10,12"
710008010,"2,3,4,5,6,7,8,9,10,11"
710890135,"1,2,3,4,5"
745000500,"1,2,3,4,11,12"
770576142,"3,4,5,6,7,8,9,10,11,12"
770576281,"1,2,3,4,5,6,7,8,9,10,11,12"
770576335,"1,2,3,4,5,6,7,12"
800001010,"1,3,4,8"
800010781,"3,4,5,8,9,10,11"
800015666,"3,4,5,8,9,10"
800023801,"4,6,7,8,9,10"
800029668,"1,2,3,4,5,9"
800036186,"3,4,5,6,8,9"
800038694,"7,8,11"
800044117,"6,7,8,9,10"
820080079,"4,5,7,8"
888810508,"3,4,5"
900003354,"1,2,3,4"
900014934,"1,2,3,4,5,6,7,11,12"
900028169,"2,3,4,5,6"
902205388,"3,4,8"
905108108,"7,8,9"
94999,"8,9,10,11,12"
98307840,"2,3,4"
98310324,"6,7,11"
998501054,"4,5,6,7,8,9,10,11"
